name,description,instruction,ingredients,meal_type,allergen,total_calories,protein,carbs,fats,meal_difficulty,meal_cooking_time,meal_cooking_method,country_origin,diet_type
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,bromelain allergy,488,39.64,21.27,10.26,hard,43 min,baking,Thailand,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,bromelain allergy,267,20.68,49.83,19.84,hard,27 min,boiling,Japan,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,bromelain allergy,394,32.13,30.65,16.67,medium,18 min,baking,India,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,bromelain allergy,450,26.59,52.33,29.85,medium,49 min,frying,Italy,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,tannin sensitivity,268,26.04,98.24,21.6,medium,24 min,grilling,Mexico,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,tannin sensitivity,376,13.06,66.89,7.74,easy,23 min,frying,India,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,tannin sensitivity,354,38.21,21.34,28.74,easy,31 min,grilling,Thailand,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,tannin sensitivity,403,39.04,71.35,21.09,easy,49 min,boiling,France,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,tannin sensitivity,598,22.98,25.42,16.56,easy,43 min,frying,Japan,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,tannin sensitivity,263,24.78,77.47,26.47,medium,57 min,boiling,Thailand,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,tannin sensitivity,315,28.96,76.11,24.16,hard,27 min,grilling,Greece,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,tannin sensitivity,769,30.54,75.33,20.36,medium,38 min,baking,India,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,tannin sensitivity,650,38.73,20.29,11.57,medium,29 min,steaming,Thailand,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,tannin sensitivity,286,31.2,34.44,21.58,medium,20 min,roasting,Lebanon,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,tannin sensitivity,755,22.19,76.35,25.47,medium,20 min,roasting,India,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,tannin sensitivity,531,17.3,59.71,21.48,medium,46 min,frying,USA,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,tannin sensitivity,425,39.79,92.66,22.36,medium,44 min,baking,Greece,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,tannin sensitivity,273,16.0,88.43,17.09,hard,50 min,steaming,Greece,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,tannin sensitivity,661,12.82,45.24,9.32,hard,25 min,boiling,Japan,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,poultry allergy,602,27.89,87.05,28.56,medium,60 min,boiling,Thailand,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,poultry allergy,402,39.43,74.43,16.71,medium,58 min,roasting,Morocco,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,poultry allergy,435,21.0,69.85,17.51,medium,51 min,steaming,Thailand,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,poultry allergy,415,20.57,53.79,15.03,medium,58 min,frying,France,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,poultry allergy,482,34.54,93.17,7.6,easy,30 min,frying,Italy,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,poultry allergy,443,32.35,25.37,13.57,hard,49 min,steaming,India,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,poultry allergy,667,32.6,24.38,21.2,hard,36 min,raw,Mexico,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,poultry allergy,465,13.1,25.38,23.28,medium,53 min,steaming,India,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,poultry allergy,371,27.9,90.05,17.19,easy,36 min,grilling,Greece,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,poultry allergy,266,28.26,62.55,7.38,easy,54 min,boiling,Japan,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,poultry allergy,643,16.54,50.09,18.35,medium,40 min,boiling,Greece,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,poultry allergy,422,37.42,44.67,26.89,hard,60 min,steaming,India,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,poultry allergy,292,25.21,44.6,14.35,hard,40 min,roasting,Mexico,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,poultry allergy,263,12.66,89.41,10.35,easy,15 min,grilling,USA,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,poultry allergy,760,35.18,37.06,21.63,medium,32 min,frying,Mexico,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,berry allergy,450,16.34,67.26,8.79,hard,25 min,baking,Lebanon,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,berry allergy,270,35.59,27.22,26.52,medium,48 min,boiling,Mexico,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,berry allergy,389,31.32,56.3,18.41,medium,11 min,boiling,Thailand,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,berry allergy,517,29.45,79.25,29.17,hard,60 min,raw,Morocco,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,berry allergy,426,36.61,47.17,13.74,easy,20 min,steaming,Japan,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,berry allergy,644,11.61,40.89,5.44,easy,20 min,grilling,Mexico,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,berry allergy,683,25.91,43.94,24.38,hard,37 min,grilling,Thailand,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,berry allergy,392,38.43,44.2,23.75,easy,59 min,frying,Greece,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,berry allergy,515,30.93,30.26,24.64,hard,20 min,grilling,India,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,berry allergy,712,13.41,35.04,25.92,hard,57 min,steaming,Morocco,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,berry allergy,622,16.22,68.46,17.15,medium,29 min,raw,Greece,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,berry allergy,494,34.7,42.56,19.95,hard,39 min,frying,France,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,berry allergy,730,24.99,21.33,25.82,medium,56 min,roasting,Greece,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,berry allergy,545,22.78,91.78,14.05,hard,59 min,steaming,Greece,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,berry allergy,275,24.81,89.9,17.54,medium,25 min,baking,Greece,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,caffeine allergy,584,15.66,33.32,21.34,hard,35 min,baking,USA,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,caffeine allergy,756,30.5,77.76,15.06,medium,30 min,grilling,Mexico,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,caffeine allergy,344,15.15,82.65,8.88,easy,10 min,grilling,Mexico,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,caffeine allergy,533,21.67,58.47,27.45,medium,12 min,grilling,USA,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,caffeine allergy,562,34.07,38.05,18.27,medium,56 min,baking,Mexico,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,caffeine allergy,650,30.73,48.59,27.73,hard,22 min,grilling,Greece,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,caffeine allergy,626,22.65,26.57,20.7,hard,19 min,grilling,Thailand,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,caffeine allergy,667,13.62,93.26,7.94,hard,48 min,frying,France,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,caffeine allergy,757,35.13,74.56,9.84,hard,46 min,baking,France,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,caffeine allergy,511,12.31,80.38,9.19,easy,11 min,frying,France,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,caffeine allergy,300,28.42,52.5,10.34,hard,46 min,steaming,Lebanon,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,caffeine allergy,639,25.81,44.81,23.4,hard,12 min,roasting,France,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,caffeine allergy,754,18.03,89.37,24.68,medium,55 min,steaming,India,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,caffeine allergy,463,11.1,59.75,20.95,easy,50 min,steaming,Thailand,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,caffeine allergy,620,35.44,44.2,16.1,easy,13 min,raw,Lebanon,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,alcohol intolerance,561,19.31,36.3,12.51,hard,37 min,raw,Thailand,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,alcohol intolerance,509,28.06,97.55,16.63,easy,29 min,baking,Lebanon,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,alcohol intolerance,631,11.69,93.49,11.29,medium,39 min,grilling,Japan,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,alcohol intolerance,474,24.29,26.11,25.17,hard,36 min,frying,Japan,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,alcohol intolerance,510,14.9,73.95,29.93,medium,14 min,baking,Japan,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,alcohol intolerance,588,20.72,20.69,16.11,easy,51 min,roasting,France,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,alcohol intolerance,317,18.88,48.43,22.91,hard,29 min,frying,India,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,alcohol intolerance,537,25.48,49.91,11.36,medium,29 min,boiling,India,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,alcohol intolerance,639,19.99,41.4,29.48,medium,19 min,boiling,Italy,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,alcohol intolerance,689,16.75,95.57,21.74,medium,38 min,roasting,Thailand,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,alcohol intolerance,799,30.85,53.47,17.23,medium,42 min,baking,France,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,alcohol intolerance,678,37.11,45.46,25.23,hard,41 min,raw,Italy,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,alcohol intolerance,612,34.61,85.18,25.51,medium,25 min,frying,Greece,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,alcohol intolerance,776,17.03,47.94,11.14,medium,57 min,baking,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,alcohol intolerance,453,27.93,96.07,12.27,easy,55 min,boiling,Italy,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,aspartame allergy,524,27.58,94.85,18.9,hard,30 min,raw,USA,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,aspartame allergy,768,32.76,82.07,22.84,easy,30 min,roasting,Lebanon,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,aspartame allergy,453,13.71,49.17,19.3,hard,26 min,grilling,Morocco,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,aspartame allergy,553,24.45,33.42,29.87,hard,52 min,raw,Morocco,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,aspartame allergy,484,18.35,29.51,17.96,medium,13 min,raw,Japan,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,aspartame allergy,611,31.98,64.03,10.42,easy,55 min,boiling,USA,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,aspartame allergy,689,28.11,46.23,28.47,medium,28 min,baking,USA,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,aspartame allergy,413,14.62,90.15,14.32,easy,21 min,frying,USA,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,aspartame allergy,676,37.32,84.54,24.16,medium,51 min,baking,Greece,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,aspartame allergy,756,33.32,24.63,5.93,medium,25 min,steaming,Italy,"['vegan', 'gluten_free']"
Grilled Salmon,Delicious salmon fillet grilled with herbs.,"Marinate salmon with lemon and herbs, grill until flaky.","grilled, salmon, salt, pepper",dinner,aspartame allergy,471,36.76,66.19,16.54,hard,17 min,steaming,Thailand,['general']
Vegetable Paella,Spanish rice dish with vibrant vegetables.,"Cook rice with saffron, add sautéed veggies and simmer.","vegetable, paella, salt, pepper",dinner,aspartame allergy,694,13.18,44.29,9.77,easy,35 min,steaming,Mexico,['gluten_free']
Beef Stir-Fry,Quick Asian-style stir-fry with beef and veggies.,"Sear beef strips, add soy sauce, garlic, and vegetables.","beef, stir-fry, salt, pepper",dinner,aspartame allergy,651,34.26,90.9,25.62,hard,49 min,baking,Morocco,"['vegan', 'paleo']"
Eggplant Parmesan,Baked eggplant with marinara and cheese.,"Bread eggplant slices, bake with tomato sauce and cheese.","eggplant, parmesan, salt, pepper",dinner,aspartame allergy,556,12.09,83.49,7.52,medium,41 min,roasting,Lebanon,"['vegetarian', 'keto']"
Coconut Curry,Creamy curry made with coconut milk and spices.,"Cook onions, garlic, add curry paste and coconut milk, simmer.","coconut, curry, salt, pepper",dinner,aspartame allergy,780,28.01,26.08,6.95,easy,48 min,boiling,Morocco,"['vegetarian', 'dairy_free']"
Avocado Toast,A fresh and healthy breakfast made with mashed avocado on toasted bread.,"Toast the bread, mash ripe avocado with lemon, and spread over toast. Top with salt and pepper.","avocado, toast, salt, pepper",breakfast,spice allergy,570,32.19,33.66,13.7,hard,19 min,raw,Greece,['keto']
Berry Smoothie Bowl,Refreshing smoothie bowl loaded with berries and granola.,"Blend frozen berries with yogurt, pour into a bowl, and top with granola and fresh fruits.","berry, smoothie, bowl, salt, pepper",breakfast,spice allergy,496,19.68,99.84,21.95,easy,56 min,baking,Italy,"['vegan', 'vegetarian', 'paleo']"
Greek Yogurt Parfait,"Layered Greek yogurt with honey, granola, and fresh fruit.","Layer yogurt, granola, and fruit in a glass. Drizzle honey on top.","greek, yogurt, parfait, salt, pepper",breakfast,spice allergy,407,36.42,98.34,21.48,easy,55 min,raw,Mexico,['vegetarian']
Vegan Banana Pancakes,Fluffy plant-based pancakes with banana flavor.,"Mix mashed banana with flour, almond milk, and baking powder. Cook on skillet until golden.","vegan, banana, pancakes, salt, pepper",breakfast,spice allergy,280,12.0,46.42,5.98,medium,57 min,grilling,USA,"['vegan', 'vegetarian', 'dairy_free']"
Scrambled Tofu,"A vegan alternative to scrambled eggs, rich in protein.","Crumble tofu, sauté with turmeric, onions, and spices. Serve hot.","scrambled, tofu, salt, pepper",breakfast,spice allergy,721,32.17,84.61,7.62,easy,13 min,grilling,Greece,['vegan']
Quinoa Salad,"Colorful salad with quinoa, chickpeas, and vegetables.","Cook quinoa, mix with chopped veggies, chickpeas, olive oil, and lemon juice.","quinoa, salad, salt, pepper",lunch,spice allergy,734,39.44,87.16,23.74,medium,57 min,boiling,Japan,"['vegan', 'keto', 'gluten_free']"
Grilled Chicken Wrap,Tender grilled chicken rolled in a soft tortilla.,"Grill chicken, slice, add lettuce and sauce, wrap in tortilla.","grilled, chicken, wrap, salt, pepper",lunch,spice allergy,623,38.46,97.84,28.5,easy,37 min,grilling,Mexico,['general']
Lentil Soup,Hearty and healthy soup packed with lentils and veggies.,"Sauté onions, garlic, add lentils and broth. Simmer until soft.","lentil, soup, salt, pepper",lunch,spice allergy,787,17.62,28.85,16.5,easy,38 min,steaming,Italy,['vegan']
Zucchini Noodle Stir-fry,Low-carb stir-fry made with spiralized zucchini.,"Sauté zucchini noodles with soy sauce, garlic, and veggies.","zucchini, noodle, stir-fry, salt, pepper",lunch,spice allergy,732,24.81,56.86,24.76,hard,33 min,boiling,France,['general']
Stuffed Bell Peppers,"Bell peppers filled with rice, beans, and herbs.","Cut and hollow peppers, stuff with rice/beans mix, bake until tender.","stuffed, bell, peppers, salt, pepper",lunch,spice allergy,254,22.63,80.63,11.74,hard,27 min,boiling,Thailand,"['vegan', 'gluten_free']"
